page#	line#	song	artist	title of record	year 	type	side/#	genre	
3	319	Blue moon	The Marcels	Juke-Box Hits	1988	CD. 2x	104	Pop.Klassiek	
3	320	Blue on blue	Bobby Vinton	The great country love songs	1972	LP.6x	405	Country	
3	321	Blue shadows	The Shadows	Dance with The Shadows	1964	LP.	102	Rock and Roll	
3	322	Blue side of lonesome	Hank Locklin	Send me the pillow you dream..	1973	LP	203	country	
3	323	Blue skies 	Earl Bostic	All his hits	1977	LP	107	Blues	
3	324	Blue tango	Hugo Winterhalter	40 Golden hits of the Fifties	0	LP. 4x	104	Pop	
3	325	Blue tango	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr5	0		508	Instr.Pop.50-6	
3	326	Blue turning grey over you	Papa Bue's Viking Jazzband	Down by the riverside	1989	CD.	106	Jazz	
3	327	Blue velvet	Bobby Vinton	The great country love songs	1972	LP. 6x	301	country	
3	328	"Blue, Blue, Day"	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	202	Country	
3	329	Blueberry Hill	Fats Domino	21 super golden oldies	1987	CD	116	rock & roll	
3	330	Blueberry Hill	Fats Domino	Yesterdays gold Vol. 1	1987	CD	122	rock & roll	
3	331	Blueberry Hill	The Everly Brothers	E.B. Story	1972	LP	105	Pop	
3	332	Bluegrass ramble	Bill Clinton	20 Country and western hits	0	LP.	104	Country	
3	333	Blues in the night	Rosemary Clooney	16 Most requested songs	1989	CD	115	Pop	
3	334	Bob 	The Willis Brothers	20 Country and western hits	0	LP.	101	country	
3	335	Body and soul	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr5	0		507	Instr.Pop.50-6	
3	336	Boil'em cabbage down	Dave Kelsey & the Countrymen	16 Country and Westerns hits	1971	LP.	205	country	
3	337	Boil'em cabbage down	Dave Kelsey & the Countrymen	16 Country and Westerns hits	1971	LP.	205	Country	
3	338	Bonaparte's retreat	Hank Locklin	Send me the pillow you dream..	1973	LP	103	country	
3	339	Bondarul	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	Lp.	104	Folksongs	
3	340	Boo-hoo-hoo-hoo	Little Richard	20 Greagest hits	0	LP	208	Rock and Roll	
3	341	Boom boom	John Lee Hooker	Easy feeling	0	CD.	113	Pop	
3	342	Born to be with you	The Chordettes	The most beautiful lovesongs	0	CD.	103	Pop	
3	343	Born to lose	The Everly Brothers	Greatest country hits	1963	LP	102	country	
3	344	Born to lose	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	204	Pop	
3	345	Born yesterday	The Everly Brothers	Born yesterday	1985	CD	103	Pop	
3	346	Born yesterday	The Everly Brothers	Born yesterday	1985	LP	103	Pop	
3	347	Botch-a-me	Rosemary Clooney	16 Most requested songs	1989	CD	102	Pop	
3	348	Both sides now	Ann Murray	Both sides now	0	LP	204	country	
3	349	Both sides now	Ann Murray	Country fare	1988	CD.	106	country	
3	350	Bottle of wine	Jimmy Gilmer	Country music Calv. U.S.A.	1980	LP. 3x	105	country	
3	351	Boulevard de Madeline	Pussycat	Pussycat	1980	LP.	103	country	
3	352	Bouquet of roses 	Carl Smith	Country times	1973	LP. 2x	105	country	
3	353	Bouquet of roses 	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr2	0		209	Instr.Pop.50-6	
3	354	Bowling green	The Everly Brothers	The E.B. sing	1967	LP	101	country	
3	355	Bowling green	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	401	country	
3	356	Boy from New York city	Ad Libs	The Giants of Rock	0	LP.	207	Rock and Roll	
3	357	Brass buckles	Barbi Benton	Big country hits nr.2	1975	LP.	101	country	
3	358	Breakdown	The Everly Brothers	Sweet memories	1990	CD	104	country	
3	359	Breakdown	The Everly Brothers	Stories we could tell	1972	LP	102	country	
3	360	Breathless	Jerry Lee Lewis	C'mon everybody	1988	CD.	108	Rock and Roll	
3	361	Bridge on the river Kwai	The Hollywood Studio Orchestra	Easy on Yourself	0	CD.	118	Pop	
3	362	Bridge over trouble water	Glen Cambell	Country gold	0	LP.	103	country	
3	363	"Bring a little water, sylvie"	Donnie Donegan	The greatest hits of………..	1976	LP.	109	Pop	
3	364	"Bring a torch,Jeanette,Isabell"	The Everly Brothers	Christmas with The Everly's	0	LP	203	Christmas song	
3	365	Bristol stomp	Dovells	Juke-Box Hits	1988	CD. 2x	210	Pop	
3	366	Broken down angel	Nazareth	Greatest hits	1975	LP.	202	Pop	
3	367	Brokenhearted	Johnny Ray	The best of Johnnie Ray	1966		103	Pop	
3	368	Brown eyed hadsome man	Buddy Holly	The late great Buddy Holly	0	LP	102	Rock and Roll	
3	369	Brown eyes	Connie Francis	Sings folk favorites	0	LP	204	Country	
3	370	Brown eyes	The Everly Brothers	Some hearts	1988	CD	107	Pop	
3	371	Brown paper bag	Tammy Wynette	I still belive in fair tales	1975	LP.	103	Country	
3	372	Bubbles	Guy Mitchel	Traveling shoes	1952	LP.	204	Country	
3	373	Buckeye	Johnny and the Hurricanes	The very best of………………..	1975	LP.	102	Rock and Roll	
3	374	Buckeye	Johnny and the Hurricanes	Golden hits of ……………	1975	LP	103	Rock and Roll	
3	375	Buffalo in the park	Ann Murray	Both sides now	0	LP	104	country	
3	376	Build for love	Johnny Ray	20 Golden greats	1979	LP.	206	Pop	
3	377	Building heartaches	Willie Nelson	Country classics	1984	LP.	101	Country	
3	378	Building heartaches	Willie Nelson	The Country Superstars	0	CD.	103	Country	
3	379	Bully of the town	The Everly Brothers	Both sides of an evening	1961	LP	105	Pop	
3	380	Bumble boogie	B.Bumble and the Stingers	Rock rules Rock	1977	LP.3x	504	Rock and Roll	
3	381	Buone Fortuna amore mio	The Everly Brothers	In German and Italy	1986	LP	202	Pop	
3	382	Buona sera	Louis Prima	Rock and Roll classics	0	LP.	101	Rock and Roll	
3	383	Burma shave	The Everly Brothers	The new album	1977	LP	104	Pop	
3	384	Burning bridges	Jack Scott	Country music Calv. U.S.A.	1980	LP. 3x	305	Country	
3	385	But I do	Billie Jo Spears	Billie Jo	1975	LP	203	Country	
3	386	But I do	Clarence 'frogman' Henry	Rock rules Rock	1977	LP.3x	404	Rock and Roll	
3	387	But for love	Eddie Arnold	Country sunshine	1974	LP.	203	Country	
3	388	Buttered popcorn	The Supremes	The very first album	1969	LP.	104	Pop	
3	389	Buy me a beer 	Phil Everly	Living alone	1979	LP	105	Pop	
3	390	By the time I got to Phoenix	Jim Nabors	The great country love songs	1972	LP. 6x	703	Country	
3	391	"Bye Bye,baby bye "	Fats Domino	here comes Fats Domino	0	LP	106	Rock and Roll	
3	392	Bye bye blues	Laes Paul and Mary Ford	Greatest	0	LP.	103	Pop	
3	393	"Bye,Bye love "	The Everly Brothers	So many years	1989	CD 2x	106	Pop	
3	394	"Bye,Bye love "	The Everly Brothers	End of an era	1970	LP 2x	405	Country	
3	395	"Bye,Bye love "	The Everly Brothers	The very best of E.B.	0	LP	101	Pop	
3	396	"Bye,Bye love "	The Everly Brothers	Original greatest hits	1970	LP 2x	101	Rock and Roll	
3	397	"Bye,Bye love "	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	406	Pop	
	398								
	399								
	400								
9	401	"Bye,Bye love "	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	301	Pop	49
9	402	"Bye,Bye love "	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr2	0		208	Instr.Pop.50-6	
9	403	"Bye,Bye love "	The Everly Brothers	Easy feeling	0	CD.	119	Pop	
9	404	"Bye,Bye,Blackbird"	The Everly Brothers	I want to know	1988	CD	115	Pop	
9	405	"Bye,Bye,Blackbird"	The Everly Brothers	Instant party	1962	LP	106	Pop	
9	406	"Bye,Bye,Blackbird"	Johnny and the Hurricanes	Golden hits of ……………	1975	LP	208	Rock and Roll	
9	407	C'est la vie	Billie Jo Spears	Midnight love	1987	CD	109	Country	
9	408	C'est si bon	Eartha Kitt	Command performance	1973	LP.	202	Pop	
9	409	C'est si bon	Eartha Kitt	40 Golden hits of the Fifties	0	LP. 4x	102	Pop	
9	410	C'mon everybody	Eddie Cochran	C'mon everybody	1988	CD.	101	Rock and Roll	
9	411	C.C.Rider	Jery Lee Lewis	40 Golden country hits	0	LP. 2x	109	Country	
9	412	C.C.Rider	Jerry Lee Lewis	20 Country legends	0	LP.	208	Country	
9	413	Calcutta	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr1	0	LP. 7x	202	Instr.Pop.50-6	
9	414	California gold	Phil Everly	Living alone	1979	LP	201	Pop	
9	415	Call me irresponsible	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr1	0		312	Instr.Pop.50-6	
9	416	Call of the wind	Frankie Laine	The roving gambler	0	LP	203	Country	
9	417	Callin' baton rouge	Billie Jo Spears	Standing tall	1980	LP	104	Country	
9	418	Calypso getaway	Earl Klugh	Warm aanbevolen 1984	1984	cd	102	Pop	
9	419	Can Can	Les Compagnons D'Accordeon	Easy feeling	0	CD.	109	Pop	
9	420	Can I sleep in your arms	Jeannie Seeley	Country music Calv. U.S.A.	1980	LP. 3x	402	Country	
9	421	Can't believe you wanna leave	Little Richard	20 Greatest hits	0	LP	106	Rock and Roll	
9	422	Can't change my heart	Billie Jo Spears	Midnight love	1987	CD	102	Country	
9	423	Can't get over it	The Everly Brothers	Some hearts	1988	CD	105	Pop	
9	424	Can't go on without you	Fats Domino	here comes Fats Domino	0	LP	203	Rock and Roll	
9	425	Can't help fallin' in love	Elvis Presley	20 Love classics part 1	1988	CD	106	pop	
9	426	Can't help fallin' in love	Elvis Presley	Love songs	1981	LP	206	Pop	
9	427	Can't help loving dat man	Lena Horne	Command performance	1973	LP.	214	Pop	
9	428	Can't let go	Vicki Brown	Vicki Brown	1987	CD.	103	Pop	
9	429	Can't stop my heart from l.you	O' Kanes	80' Country	0		106	country	
9	430	Can't stop this thing we st…	Bryan Adams	Waking up the neighbours	1991	Cd.	103	Pop	
9	431	Can't take me eyes off of you	Jay & the Americans	Do you love me	0	LP . 2x	307	Pop	
9	432	Can’t take my eyes off you	Nancy Wilson	Command performance	1973	LP.	103	Pop	
9	433	Canadian sunset	Eddie Heywood	40 Golden hits of the Fifties	0	LP. 4x	205	Pop	
9	434	Candy kisses	George Morgan	20 Country and western hits	0	LP.	102	Country	
9	435	Candy kisses	Tennessee Ernie Ford	Country hits	1975	LP. 2x	102	Country	
9	436	Candy kisses	George Morgan	Country hits	1973	LP. 2x	402	Country	
9	437	Candy kisses	George Morgan	Country music Cav Memory Lane	1980	LP. 3x	602	Country	
9	438	Cara mia	Jay & the Americans	Golden super oldies	1986	LP. 3x	601	Pop	
9	439	Cara mia	Jay & the Americans	Juke-Box Hits	1988	CD. 2x	207	Pop.Klassiek	
9	440	Carabina treinta treinta	Los Andes	South American Music	0	LP.	203	Latin- Amerikaa	
9	441	Careless love	Connie Francis	Sings folk favorites	0	LP	101	Country	
9	442	Careless love	Dave Kelsey & the Countrymen	16 Country and Westerns hits	1971	LP.	204	country	
9	443	Careless love	Dave Kelsey & the Countrymen	16 great country & western hits	1971	lp	204	country	
9	444	Carnival	The Merrymen	Big bamboo	1989	CD	121	Pop	
9	445	Carol	Chuck Berry	C'mon everybody	1988	CD.	104	Rock and Roll	
9	446	Carol Jane	The Everly Brothers	I want to know	1988	CD	107	Pop	
9	447	Carolina moon	Connie Francis	Connie Francis	0	LP	203	pop	
9	448	Carolina moon	Connie Francis	Connie's greatest hits	0	LP	103	pop	
9	449	Carolina on my mind	The Everly Brothers	"Coke, Chrysler 'n Country"	1967	LP	205	country	
9	450	Caroline	Phil Everly	There's nothing too good for..	1974	LP	202	Pop	
10	451	Carry me home	Lloyd Price	The specialty story	1972	LP.	206	Rock and Roll	
10	452	Catch the wind	Donovan 	The most beautiful lovesongs	0	CD.	112	Pop	
10	453	Cathy's clown 	The Everly Brothers	The very best of E.B.	0	LP	106	Pop	
10	454	Cathy's clown 	The Everly Brothers	The golden hits of the E.B.	1962	LP	201	Pop	
10	455	Cathy's clown 	The Everly Brothers	The most beautiful lovesongs	1972	LP 2x	106	Pop	
10	456	Cathy's clown 	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	203	Pop	
10	457	Cathy's clown 	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	307	Pop	
10	458	Chain gang	Sam Cooke	40 Golden hits of the Fifties	0	LP. 4x	409	Pop	
10	459	Chains	The Everly Brothers	Nice guys	1984	LP	104	Pop	
10	460	Changes are	Lawrence Welk	Last date	1961	LP.	202	Pop	
10	461	Changing partners	Patti Pages	40 Golden country hits	0	LP. 2x	208	country	
10	462	Chanilly lace	The Big Bopper	Yesterdays gold Vol. 1	1987	CD	103	rock & roll	
10	463	Chantilly lace	Unknow	Golden Oldies	1973	LP.	101	Pop	
10	464	Chapel of love	The Dixie Cups	The Giants of Rock	0	LP.	108	Rock and Roll	
10	465	Charade	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr6	0		610	Instr.Pop.50-6	
10	466	Chariots of fire	Ed Starink	Synthesizer Hits	1989	CD.	105	Synthesizer	
10	467	Charleston guitar	Phil Everly	Living alone	1979	LP	204	Pop	
10	468	Charlie's shoes	Billy Walker	Country music Cav Memory Lane	1980	LP. 3x	603	Country	
10	469	Charlotte fever	Kenny Price	Charlotte fever	1971	LP.	101	Country	
10	470	Charms	Bobby Vee	The very best of Bobby Vee	1975	LP	202	POP	
10	471	Chattanooga choo-choo	Floyd Cramer	The magic touch	0	LP	101	Pop	
10	472	Chattanooga choo-choo	The Shadows	Dance with The Shadows	1964	LP.	101	Rock and Roll	
10	473	Chee-koo Baby	Lloyd Price	The specialty story	1972	LP.	201	Rock and Roll	
10	474	Cherry pink & appleblossom wh.	Earl Bostic	All his hits	1977	LP	206	Blues	
10	475	Cherry pink & appleblossom wh.	Perez Prado	40 Golden hits of the Fifties	0	LP. 4x	108	Pop	
10	476	Chim chim cher-ee	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr6	0		304	Instr.Pop.50-6	
10	477	Chloe	The Everly Brothers	Both sides of an evening	1961	LP	106	Pop	
10	478	Christmas Eve can kill you	The Everly Brothers	Takeof-the 70's	1979	LP	206	Pop	
10	479	Christmas Eve can kill you	The Everly Brothers	Stories we could tell	1972	LP	202	Pop	
10	480	Chrysler/Plymouth commercial	The Everly Brothers	"Coke, Chrysler 'n Country"	1967	LP	109	country	
10	481	Chrysler/Plymouth commercial	The Everly Brothers	Coke.Chrysler and back again..	0	LP	105	Country	
10	482	Cielito Lindo	Trini Lopez	Do you love me	0	LP. 2x	205	Pop	
10	483	Cielito lindo	Los Andes	South American Music	0	LP.	104	Latin American	
10	484	Cierra la noche	Malando	Malando plays malando	0	LP.	203	Tango	
10	485	Cimpolul	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	LP.	108	Folksongs	
10	486	Cintec de dor	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	Lp	205	Folksongs	
10	487	Circus 	Flairck	Flairck alive	1990	CD.	205	Pop	
10	488	Clair de lune	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr6	0		512	Instr.Pop.50-6	
10	489	Claudette	The Everly Brothers	Yesterdays gold Vol. 1	1987	CD	121	rock & roll	
10	490	Claudette	The Everly Brothers	So many years	1989	CD 2x	213	Pop	
10	491	Claudette	The Everly Brothers	End of an era	1970	LP 2x	103	Country	
10	492	Claudette	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	103	Pop	
10	493	Claudette	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	103	Pop	
10	494	Clementine	Connie Francis	Sings folk favorites	0	LP	104	Country	
10	495	Closing speech 	Timi Yuro	Today	1982	LP.	208	Pop	
10	496	Coat if many colours	Dolly Parton	Both sides now	1978	LP	103	Country	
10	497	Coca cola comercial	The Everly Brothers	"Coke, Chrysler 'n Country"	1967	LP	201	Country	
10	498	Coca cola comercial	The Everly Brothers	"Coke,Chrysler and back again.."	0	LP	106	Country	
10	499	Cocoanut woman	Harry Belafonte	Golden records	0	LP	103	Folksongs	
10	500	Cold cold heart	Gene Pitney	His 20 greatest hits	0	LP.	205	Country	
11	501	Cold cold heart	George Jones	15 Golden classics vol.1	0	LP.	205	Country	
11	502	Cold cold heart	Jerry Lee Lewis	Hall of fame	1975	LP.	201	Country	
11	503	Cold cold heart	Johnny Cash	Kind of Country	1987	CD.	103	Country	
11	504	Cold cold heart	Jerry Lee Lewis	Country's greatest hits vol.4	1989	CD. 4x	413	Country	
11	505	Colinda	Lucille Starr	20 Country hits	1976	LP.	106	Country	
11	506	Comanche	Johnny Horton	50 Golden country hits	1988	CD. 2x	105	Country	
11	507	Come a little bit closer	Jay & the Americans	Juke-Box Hits	1988	CD. 2x	220	Pop.Klassiek	
11	508	Come back Lisa	Harry Belafonte	Golden records	0	LP	206	Folk songs	
11	509	Come back to your heart	The Dubs	1950's Rock & Roll collection	0	LP.	703	Rock and Roll	
11	510	Come back when you grow up	Bobby Vee	The very best of Bobby Vee	1975	LP	204	POP	
11	511	Come dance with me	The Tokens	1950's Rock & Roll collection	0	LP.	708	Rock and Roll	
11	512	Come go with me	The Del Vikings	The Giants of Rock	0	LP.	103	Rock and Roll	
11	513	Come into my heart	Lloyd Price	The ABC collection	1976	LP	204	Rock and Roll	
11	514	Come into my heart	Lloyd Price	Rock and Roll classics	0	LP.	103	Rock and Roll	
11	515	Come next Monday	K.T. Oslin	Love in a small town	1980	Cd	101	Country	
11	516	Come on home	Billie Jo Spears	It could have been me	1985	LP	103	Country	
11	517	Come on train	Johnny and the Hurricanes	The veru best of…………………….	1975	LP.	402	Rock and Roll	
11	518	Come on train	Johnny and the Hurricanes	Golden hits of ……………	1975	LP	102	Rock and Roll	
11	519	Come on-a my house	Rosemary Clooney	16 Most requested songs	1989	CD	101	Pop	
11	520	Come softly to me	The Fleetwoods	Rock rules Rock	1977	LP.3x	306	Rock and Roll	
11	521	Come softly to me	Fleetwoods	Great rock & roll love songs	1983	LP.	203	Rock and Roll	
11	522	Come softly to me	Unknow	Golden Oldies	1973	LP.	104	Pop	
11	523	Come take my hand	Slim Whitman	Tomorrow never comes	0	LP.	205	Country	
11	524	Come to me	Juice Newton	20 Country love songs	1988		105	Country	
11	525	Comfort ye	Steve Jerome	The young messiah	1979	CD.	101	Pop.Klassiek	
11	526	Coming home	Madeline Bell &Gordon Neville	The young Verdi	1988	CD.	106	Pop.Klassiek	
11	527	Coming home soldier	Bobby Vinton	The great country love songs	1972	LP. 6x	305	country	
11	528	Confused	Lefty Frizzel	The great country love songs	1972	LP. 6x	803	country	
11	529	Conny	Peter Koelewin	De beste van……………..	0	LP.	202	Pop	
11	530	Contigo en la distancia	Los Machucambos	Los Machucambos 	0	LP.	102	Latin- Amerikaa	
11	531	Cool water	Frankie Laine 	I'm gonna live 'till I die	0	LP	201	country	
11	532	Cool water	Slim Whitman	The best of Slim Whitman	0	LP.	101	Country	
11	533	Cool water	Marty Robbins	20 Country hits	1976	LP.	203	Country	
11	534	"Corina, Corina"	Lloyd Price	The ABC collection	1976	LP	107	Rock and Roll	
11	535	"Corina, Corina"	Ray Peterson	Rock rules Rock	1977	LP.3x	603	Rock and Roll	
11	536	"Corina, Corina"	Ray Peterson	Golden super oldies	1986	LP. 3x	408	Pop	
11	537	Corn bread	Johnny and the Hurricanes	The very best of………….	1975	LP.	203	Rock and Roll	
11	538	Cornell Crawford	K.T. Oslin	Love in a small town	1980	CD	107	Country	
11	539	Cossack patrol	The Alexandrov Ensemble	Stenka Rasin	0	LP.	102	Russian folk S	
11	540	Cossack patrol	The Alexandrov Ensemble	De breiendste Russische Koran	0	LP.	201	Russian folk S	
11	541	Cotton candy	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr1	103	LP. 7x	103	Instr.Pop.50-6	
11	542	Cotton -Eyed Joe	Roxon Road Show	Wembley Countrey Music Festival	1988	CD.	105	Country	
11	543	Could I have this dance	Lynn Anderson	20 Golden hits	1990	CD	110	Country	
11	544	Could it be	Vicki Brown	Vicki Brown	1987	CD.	105	Pop	
11	545	Could this be magic	The Dubs	The Giants of Rock	0	LP.	206	Rock and Roll	
11	546	Country boy	Johnny Cash	Hall of fame	1975	LP.	106	country	
11	547	Country boy	Johnny Cash	40 Golden country hits	0	LP. 2x	203	country	
11	548	Country boy	Johnny Cash	20 Country legends	0	LP.	209	country	
11	549	Country boy	Glen Cambell	Big country hits nr.2	1976	LP.	203	country	
11	550	Country boy rock 	Lloyd Price	The specialty story	1972	LP.	204	Rock and Roll	
12	551	Country girl	Faron Young	Country gold	0	LP.	203	country	
12	552	Country guitar	Phil Baugh	20 Country and western hits	0	LP.	210	country	
12	553	Country music is here to stay	Simon Crum	Country hits	1975	LP. 2x	203	country	
12	554	Country sunshine	Dottie West	Nashville Stars forever	1976	LP. 2x	305	country	
12	555	Country sunshine	Dottie West	Country sunshine	1974	LP.	101		
12	556	Cowboy in your heart	Gary Fjellgaard	Country's greatest hits vol.1	1989	CD. 4x	112	country	
12	557	Crazy	Patsy Cline	16 greatest hits	1988	CD	104	country	
12	558	Crazy	Patsy Cline	A tribute to Patsy Cline	1963	LP.	206	country	
12	559	Crazy	Timi Yuro	Today	1982	LP.	205	Pop	
12	560	Crazy	Patsy Cline	50 Golden country hits	1988	CD. 2x	125	country	
12	561	Crazy arms	Jerry Lee Lewis	50 Golden country hits	1988	CD. 2x	220	country	
12	562	Crazy arms	Lucille Starr	The most beautiful lovesongs	0	CD.	111	Pop	
12	563	Crazy baby	Freddy Fender	20 Greatest hits	0	LP	109	Country	
12	564	Crazy baby	Freddy Fender	40 Golden country hits	0	LP. 2x	204	Country	
12	565	Crazy dreams	Patsy Cline	16 greatest hits	1988	CD	111	Country	
12	566	Crazy dreams	Patsy Cline	Unforgettable Patsy Cline	1990	CD	106	Country	
12	567	Crazy dreams	Conway Twitty	Hall of fame	1975	LP.	108	Country	
12	568	Crazy dreams	Conway Twitty	20 Country legends	0	LP	108	Country	
12	569	Crazy man crazy	Bill Haley	Rock the joint	1962	LP	201	Rock and Roll	
12	570	Cripple creek	The Dickson Brothers	Country and western songs	0	LP.	206	Country	
12	571	Crockett's	Ed Starink	Synthesizer Hits	1989	CD.	113	Synthesizer	
12	572	Cross fire	Johnny and the Hurricanes	The very best of…………	1975	LP.	304	Rock and Roll	
12	573	Cross fire	Johnny and the Hurricanes	Golden hits of ……………	1975	LP	202	Rock and Roll	
12	574	Cross my broken heart	Suzy Bogguss	Suzy Bogguss	1989	CD	107	country	
12	575	Cross over the bridge	Roger miller	40 Golden country hits	0	LP. 2x	410	country	
12	576	Cross over the bridge	Patti Page	Command performance	1973	LP.	205	Pop	
12	577	Cry	Timi Yuro	Timi Yuro collection	1990	CD	116	country	
12	578	Cry 	Lynn Anderson	20 Golden hits	1990	CD	104	country	
12	579	Cry	Johnny Ray	20 Golden greats	1979	LP.	101	Pop	
12	580	Cry	Johnny Ray	The best of Johnnie Ray	1966		101		
12	581	Cry	Johnny Ray	The best of Johnnie Ray	1966		101	Pop	
12	582	Cry	Johnnie Ray	Memories	1975	LP. 2x	404	Pop	
12	583	Cry cry cry	Johnny Cash	20 Country legends	0	LP.	110	Country	
12	584	Crying	Roy Orbison	Country's greatest hits vol.2	1989	CD. 4x	201	Country	
12	585	Crying in the chapel	June Valli	40 Golden hits of the Fifties	0	LP. 4x	106	Pop	
12	586	Crying in the rain	The Everly Brothers	The very best of E.B.	0	LP	104	Pop	
12	587	Crying in the rain	The Everly Brothers	The golden hits of the E.B.	1962	LP	103	Pop	
12	588	Crying in the rain	The Everly Brothers	The most beautiful songs	1972	LP 2x	206	Pop	
12	589	Crying in the rain	The Everly Brothers	"Bye, Bye Everly's"	1974	LP	206	Pop	
12	590	Crying in the rain	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	104	Pop	
12	591	Crying in the rain	The Everly Brothers	The E.B. Reunion Concert	1983	LP 2x	104	Pop	
12	592	Crying my heart over you	Ricky Skaggs	80' Country	0		104	Country	
12	593	Crying time 	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	205	Country	
12	594	Crying time 	Billie Jo Spears	Country fare	1988	CD.	111	Country	
12	595	"Crying, waiting , hoping"	Buddy Holly	The late great Buddy Holly	0	LP	206	Rock and Roll	
12	596	Cuckoo bird	The Everly Brothers	"Coke, Chrysler 'n Country"	1967	LP	204	Country	
12	597	Cumberladn gap	Lonnie Donegan	The greatest hits of………..	1976	LP.	209	Pop	
12	598	Cupid	Sam Cooke	20 Love classics part II	1988	CD	107	pop	
12	599	Cutout	Johnnie and the Hurricanes	The very best of…………….	1975	LP.	208	Rock and Roll	
12	600	Da doo ron ron	The Crystels	Rock rules Rock	1977	LP.3x	105	Rock and Roll	
13	601	Daddy	Donna Fargo	Country fare	1988	CD.	116	Country	
13	602	Daddy sang Bass	Johnny Cash	The great country love songs	1972	LP. 6x	105	Country	
13	603	Daddy was an old time Prea.m..	Dolly Parton & Porter Wagoner	Nashville Stars forever	1976	LP. 2x	106	Country	
13	604	Daddu what if	Bobby Bare 	Country sunshine	1974	LP.	102	Country	
13	605	Daddy's home	Shep & The Limelights	The Giants of Rock	0	LP	210	Rock and Roll	
13	606	Dakote	The Shadows	Dance with The Shadows	1964	LP.	202	Rock and Roll	
13	607	Dallas	Billie Jo Spears	Sunshine	0	LP	205	Country	
13	608	Dallas	Tammy Wynette	I still belive in fair tales	1975	LP.	105	Country	
13	609	Dance with a dolly	Bill Haley	Rock the joint	1962	LP	206	Rock and Roll	
13	610	Dancing in the street	The Everly Brothers	The most beautiful songs	1972	LP 2x	105	Pop	
13	611	Dancing in the street	Martha Reeves	Golden super oldies	1986	LP. 3x	607	Pop	
13	612	Dancing in the street	Neil Diamond	September morn	1979	CD.	106	Pop	
13	613	Dancing on my feet	The Everly Brothers	The new album	1977	LP	102	Pop	
13	614	Dancing on my feet	The Everly Brothers	Nice guys	1984	LP	203	Pop	
13	615	Danger danger	The Everly Brothers	EB '84	1984	CD	102	Pop	
13	616	Danke schoen	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr4	0		407	Instr.Pop.50-6	
13	617	Danny	Billie Jo Spears	It could have been me	1985	LP	102	Country	
13	618	Danny	Billie Jo Spears	Sunshine	0	LP	104	Country	
13	619	Danny's song	Lynn Anderson	20 Golden hits	1990	CD	117	Country	
13	620	Dans le prisons de nautes	Edith Pief	Milord	1979	LP	205	Chanchons	
13	621	Darlin'	Barbra Mandell	The country collection	1985	CD	106	Country	
13	622	Das glockchen	Der Rumanische Armeechoir	Der Rumanische Armeechoir	0	Lp.	202	Folksongs	
13	623	David's song	Ann Murray	Both sides now	0	LP	202	Country	
13	624	Daydreams about night things	Ronnie Milsap	24 Original no.1 Country hits	1978	LP. 2x	404	Country	
13	625	Days	The Kinks	The most beautiful lovesongs	0	CD.	102	Pop	
13	626	Days of wine of roses	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr3	0		310	Instr.Pop.50-6	
13	627	De burgerij	Jaques Brel	Jaques Brel zingt………..	1976	LP	106	Chanchons	
13	628	De domingo a domingo	Los Andes	South American Music	0	LP	106	Latin American	
13	629	De hele stad is gek en dol	Peter Koelewin	De beste van……………..	0	LP	201	Pop	
13	630	De nutelozen van de nacht	Jaques Brel	Jaques Brel zingt………..	1976	LP	203	Chansons	
13	631	Deadsman's curve	Jan & Dean	Golden super oldies	1986	LP. 3x	505	Pop	
13	632	Dear God	Patsy Cline	Unforgettable Patsy Cline	1990	CD	122	country	
13	633	Dear heart	"Instrumentaal, orkest=onbekend"	The lively Years-'50s&'60s Nr3	0		308	Instr.Pop.50-6	
13	634	Deck the halss with boughs….	The Everly Brothers	Christmas with The Everly's	0	LP	202	Christmas song	
